area_type,availability,location,size,total_sqft,bath,balcony,City,Price,BHK,ready_to_move,price_per_sqft
Super built-up  Area,18-08-2024 00:00,Chandapura,1 BHK,645,1,1,Bangalore,1645000,1,0,2550.387597
Plot  Area,Ready To Move,Mukkutam Nagar,8 Bedroom,2600,8,2,Bangalore,18000000,8,1,6923.076923
Super built-up  Area,18-09-2024 00:00,Chandapura,1 BHK,645,1,1,Bangalore,1645000,1,0,2550.387597
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,1644,3,3,Bangalore,8400000,3,1,5109.489051
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,1285,2,3,Bangalore,7250000,2,1,5642.023346
Plot  Area,Ready To Move,Electronic City,3 Bedroom,1200,3,1,Bangalore,9000000,3,1,7500
Super built-up  Area,Ready To Move,Electronic City,2 BHK,910,2,1,Bangalore,4000000,2,1,4395.604396
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1577,3,1,Bangalore,7000000,3,1,4438.807863
Plot  Area,17-05-2024 00:00,Meenakunte,3 Bedroom,4050,3,2,Bangalore,28000000,3,0,6913.580247
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,2420,3,2,Bangalore,18500000,3,1,7644.628099
Super built-up  Area,Ready To Move,Chandapura,2 BHK,800,1,1,Bangalore,2000000,2,1,2500
Built-up  Area,Ready To Move,Anand Nagar,2 BHK,1060,2,2,Bangalore,5500000,2,1,5188.679245
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1270,2,2,Bangalore,9300000,2,1,7322.834646
Super built-up  Area,18-06-2024 00:00,Shree Ananth Nagar Layout,2 BHK,900,2,2,Bangalore,2250000,2,0,2500
Built-up  Area,Ready To Move,Kundalahalli Colony,2 Bedroom,1280,2,1,Bangalore,6900000,2,1,5390.625
Plot  Area,Ready To Move,Horamavu Agara,4 Bedroom,1200,2,0,Bangalore,9500000,4,1,7916.666667
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1025,2,2,Bangalore,3600000,2,1,3512.195122
Super built-up  Area,17-06-2024 00:00,Electronic City,2 BHK,1108,2,1,Bangalore,6300000,2,0,5685.920578
Plot  Area,Ready To Move,MCECHS  layout,5 Bedroom,1200,5,2,Bangalore,17000000,5,1,14166.66667
Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,3045,3,2,Bangalore,17000000,3,1,5582.922824
Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,2900,3,2,Bangalore,30000000,4,1,10344.82759
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,1500,3,2,Bangalore,7550000,3,1,5033.333333
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1295,2,2,Bangalore,4390000,2,1,3389.96139
Super built-up  Area,Ready To Move,Budigere,2 BHK,1162,2,1,Bangalore,5990000,2,1,5154.905336
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1035,2,2,Bangalore,4920000,2,1,4753.623188
Built-up  Area,Ready To Move,Attibele,4 Bedroom,1600,4,0,Bangalore,5280000,4,1,3300
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,1464,3,2,Bangalore,4600000,3,1,3142.076503
Super built-up  Area,18-10-2024 00:00,Hennur Road,3 BHK,1866,2,2,Bangalore,6158000,3,0,3300.107181
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2 BHK,700,1,1,Bangalore,2600000,2,1,3714.285714
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1804,3,2,Bangalore,12000000,3,1,6651.884701
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,913,2,1,Bangalore,3200000,2,1,3504.928806
Super built-up  Area,21-12-2024 00:00,Talaghattapura,3 BHK,1868,3,2,Bangalore,13100000,3,0,7012.847966
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,883,2,1,Bangalore,4500000,2,1,5096.262741
Plot  Area,Ready To Move,Sundara Nagar,2 Bedroom,900,2,1,Bangalore,11000000,2,1,12222.22222
Super built-up  Area,Ready To Move,Kogilu,3 BHK,1664,2,3,Bangalore,7395000,3,1,4444.110577
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,2026,3,2,Bangalore,13200000,3,1,6515.301086
Super built-up  Area,Ready To Move,Balagere,2 BHK,1210,2,1,Bangalore,8090000,2,1,6685.950413
Plot  Area,Ready To Move,Meenakunte,4 Bedroom,4111,4,2,Bangalore,25000000,4,1,6081.245439
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,1762,3,3,Bangalore,9145000,3,1,5190.124858
Super built-up  Area,Ready To Move,Jigani,3 BHK,1252,3,3,Bangalore,5500000,3,1,4392.971246
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,861,2,1,Bangalore,3450000,2,1,4006.968641
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1420,2,1,Bangalore,10000000,3,1,7042.253521
Plot  Area,Ready To Move,Srirampura,6 Bedroom,1450,6,0,Bangalore,25000000,6,1,17241.37931
Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1490,3,1,Bangalore,7880000,3,1,5288.590604
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2,1,Bangalore,4600000,3,1,4279.069767
Super built-up  Area,18-08-2024 00:00,Old Madras Road,3 BHK,1425,2,2,Bangalore,9400000,3,0,6596.491228
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1200,2,1,Bangalore,4000000,2,1,3333.333333
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,1280,2,2,Bangalore,5600000,3,1,4375
Super built-up  Area,Ready To Move,Silver Springs Layout,2 BHK,1084,2,2,Bangalore,5000000,2,1,4612.546125
Super built-up  Area,18-07-2024 00:00,Chandapura,2 BHK,1015,2,2,Bangalore,2588000,2,0,2549.753695
Super built-up  Area,21-05-2024 00:00,Kanakpura Road,2 BHK,1017,2,1,Bangalore,5125000,2,0,5039.331367
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1027,2,2,Bangalore,4400000,2,1,4284.323272
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1069,2,2,Bangalore,4500000,2,1,4209.541628
Super built-up  Area,Ready To Move,Hebbal,2 BHK,1349,2,1,Bangalore,9820000,2,1,7279.466271
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,1005,2,1,Bangalore,5000000,2,1,4975.124378
Super built-up  Area,Ready To Move,Jakkur,2 BHK,1417,2,3,Bangalore,7500000,2,1,5292.872265
Plot  Area,18-01-2024 00:00,TC Palaya,3 Bedroom,1475,3,1,Bangalore,9800000,3,0,6644.067797
Carpet  Area,Ready To Move,Maruthi Sevanagar,2 BHK,950,2,2,Bangalore,4700000,2,1,4947.368421
Super built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,2000,4,0,Bangalore,12000000,4,1,6000
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,880,3,1,Bangalore,14000000,3,1,15909.09091
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,1863,3,2,Bangalore,10400000,4,1,5582.393988
Super built-up  Area,Ready To Move,Singasandra,2 BHK,1010,2,1,Bangalore,2950000,2,1,2920.792079
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1425,2,1,Bangalore,7000000,3,1,4912.280702
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,1450,3,0,Bangalore,10000000,3,1,6896.551724
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1847,3,2,Bangalore,10500000,3,1,5684.894423
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1100,2,3,Bangalore,4500000,2,1,4090.909091
Super built-up  Area,20-12-2024 00:00,Kanakpura Road,1 BHK,525,1,1,Bangalore,2600000,1,0,4952.380952
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,1665,3,2,Bangalore,9500000,3,1,5705.705706
Super built-up  Area,Ready To Move,Begur,4 BHK,1664,4,3,Bangalore,6500000,4,1,3906.25
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,1850,3,3,Bangalore,15000000,3,1,8108.108108
Super built-up  Area,Ready To Move,Panathur,2 BHK,1438,2,3,Bangalore,10000000,2,1,6954.102921
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,1560,3,3,Bangalore,11500000,3,1,7371.794872
Super built-up  Area,18-04-2024 00:00,Yelahanka,2 BHK,1350,2,1,Bangalore,5555000,2,0,4114.814815
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1550,3,3,Bangalore,6700000,3,1,4322.580645
Super built-up  Area,18-04-2024 00:00,Malleshpalya,2 BHK,1140,2,2,Bangalore,4650000,2,0,4078.947368
Plot  Area,Ready To Move,Srirampura,5 Bedroom,1200,5,2,Bangalore,18000000,5,1,15000
Super built-up  Area,18-12-2024 00:00,Kodathi,2 BHK,850,2,2,Bangalore,2700000,2,0,3176.470588
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1280,2,2,Bangalore,7500000,2,1,5859.375
Built-up  Area,Ready To Move,Munnekollal,2 BHK,1170,2,2,Bangalore,5200000,2,1,4444.444444
Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,1113,2,1,Bangalore,5100000,2,1,4582.210243
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,1385,2,1,Bangalore,8309000,2,1,5999.277978
Super built-up  Area,18-04-2024 00:00,Electronic City,2 BHK,1128,2,1,Bangalore,6500000,2,0,5762.411348
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,1200,2,2,Bangalore,12800000,2,1,10666.66667
Plot  Area,Ready To Move,Akshaya Vana,4 Bedroom,1200,4,3,Bangalore,16500000,4,1,13750
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,2390,3,2,Bangalore,41500000,3,1,17364.01674
Plot  Area,Ready To Move,Giri Nagar,4 Bedroom,2400,4,1,Bangalore,40000000,4,1,16666.66667
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,1464,3,2,Bangalore,5600000,3,1,3825.136612
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,1200,2,2,Bangalore,5500000,2,1,4583.333333
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,1200,2,2,Bangalore,5200000,2,1,4333.333333
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,1150,2,1,Bangalore,5500000,3,1,4782.608696
Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,1645,3,2,Bangalore,9500000,3,1,5775.075988
Super built-up  Area,20-03-2024 00:00,Sarjapur  Road,2 BHK,1000,2,1,Bangalore,6700000,2,0,6700
Plot  Area,Ready To Move,Haralur Road,4 Bedroom,2650,4,2,Bangalore,19800000,4,1,7471.698113
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1192,2,2,Bangalore,7400000,2,1,6208.053691
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,2135,3,2,Bangalore,21500000,3,1,10070.25761
Super built-up  Area,19-12-2024 00:00,Whitefield,2 BHK,1173,2,1,Bangalore,5800000,2,0,4944.58653
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,1020,2,2,Bangalore,4500000,2,1,4411.764706
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,3122,6,2,Bangalore,23000000,4,1,7367.072389
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,1600,3,3,Bangalore,6400000,3,1,4000
Plot  Area,18-03-2024 00:00,T.C PALYA,2 Bedroom,1200,2,0,Bangalore,7900000,2,0,6583.333333
Carpet  Area,Ready To Move,Muneshwara Nagar,2 BHK,1230,2,3,Bangalore,4800000,2,1,3902.439024
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,1250,2,2,Bangalore,4000000,2,1,3200
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1325,2,2,Bangalore,7600000,2,1,5735.849057
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1850,3,1,Bangalore,15000000,3,1,8108.108108
Super built-up  Area,21-12-2024 00:00,Kanakpura Road,1 BHK,525,2,2,Bangalore,2153000,1,0,4100.952381
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,1200,2,2,Bangalore,6500000,2,1,5416.666667
Plot  Area,Ready To Move,Bull Temple Road,3 Bedroom,1350,2,0,Bangalore,14000000,3,1,10370.37037
Super built-up  Area,18-06-2024 00:00,Bommasandra,3 BHK,1260,3,1,Bangalore,4936000,3,0,3917.460317
Super built-up  Area,Ready To Move,Prashanth Nagar,3 BHK,1800,3,0,Bangalore,15000000,3,1,8333.333333
Plot  Area,18-12-2024 00:00,Suragajakkanahalli,3 Bedroom,11,3,2,Bangalore,7400000,3,0,672727.2727
Built-up  Area,Ready To Move,Ardendale,2 BHK,1100,2,1,Bangalore,4325000,2,1,3931.818182
Super built-up  Area,Ready To Move,Harlur,2 BHK,1508,2,1,Bangalore,7700000,2,1,5106.100796
Carpet  Area,Ready To Move,Sampigehalli,3 BHK,1592,3,2,Bangalore,7500000,3,1,4711.055276
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1388,2,3,Bangalore,5700000,2,1,4106.628242
Super built-up  Area,18-05-2024 00:00,Electronic City Phase II,1 BHK,630,1,1,Bangalore,2835000,1,0,4500
Plot  Area,Ready To Move,RMV,3 Bedroom,2000,3,2,Bangalore,36500000,3,1,18250
Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,3 BHK,1762,3,1,Bangalore,12500000,3,1,7094.211124
Super built-up  Area,21-12-2024 00:00,Bagalur Main Road,2 BHK,950,2,2,Bangalore,5000000,2,0,5263.157895
Super built-up  Area,Ready To Move,Kodihalli,4 BHK,3252,5,3,Bangalore,33500000,4,1,10301.35301
Super built-up  Area,18-08-2024 00:00,Magadi Road,2 BHK,1116,2,1,Bangalore,5000000,2,0,4480.286738
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,1308,2,2,Bangalore,8904000,2,1,6807.33945
Super built-up  Area,Ready To Move,MS Pallya,3 BHK,1200,3,0,Bangalore,9000000,3,1,7500
Plot  Area,Ready To Move,Binny Mills Employees Colony,4 Bedroom,1500,4,2,Bangalore,23000000,4,1,15333.33333
Built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,500,1,1,Bangalore,1850000,1,1,3700
Super built-up  Area,Ready To Move,Hennur,2 BHK,1075,2,1,Bangalore,5200000,2,1,4837.209302
Super built-up  Area,18-03-2024 00:00,Chandapura,1 BHK,530,1,0,Bangalore,1166000,1,0,2200
Built-up  Area,Ready To Move,Bellandur,2 BHK,1205,2,3,Bangalore,6600000,2,1,5477.178423
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1075,2,2,Bangalore,6000000,2,1,5581.395349
Built-up  Area,Ready To Move,KR Puram,2 BHK,930,2,2,Bangalore,3900000,2,1,4193.548387
Super built-up  Area,Ready To Move,Balagere,2 BHK,1380,2,1,Bangalore,6000000,2,1,4347.826087
Super built-up  Area,Ready To Move,Hebbal,4 BHK,2483,5,2,Bangalore,21200000,4,1,8538.0588
Built-up  Area,Ready To Move,Kodigehaali,2 BHK,1166,2,2,Bangalore,5500000,2,1,4716.981132
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1050,2,1,Bangalore,6500000,2,1,6190.47619
Super built-up  Area,19-03-2024 00:00,Gopalapura,3 BHK,2023.71,3,2,Bangalore,27500000,3,0,13588.90355
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1200,2,2,Bangalore,4680000,2,1,3900
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,1600,2,1,Bangalore,10800000,3,1,6750
Super built-up  Area,Ready To Move,Billekahalli,3 BHK,1935,3,2,Bangalore,11000000,3,1,5684.754522
Super built-up  Area,18-05-2024 00:00,8th Phase JP Nagar,1 BHK,451,1,0,Bangalore,2990000,1,0,6629.711752
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1800,3,2,Bangalore,9500000,3,1,5277.777778
Super built-up  Area,18-05-2024 00:00,Jalahalli,3 BHK,1400,3,0,Bangalore,7700000,3,0,5500
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1801,3,2,Bangalore,11500000,3,1,6385.341477
Built-up  Area,Ready To Move,Mahadevpura,2 BHK,1451,2,2,Bangalore,9000000,2,1,6202.618884
Plot  Area,19-01-2024 00:00,Anekal,2 Bedroom,1200,1,1,Bangalore,3600000,2,0,3000
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1160,2,2,Bangalore,4400000,2,1,3793.103448
Built-up  Area,Ready To Move,Kengeri,2 BHK,1000,2,1,Bangalore,2500000,2,1,2500
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,950,2,1,Bangalore,4000000,2,1,4210.526316
Built-up  Area,20-12-2024 00:00,"Hoodi Circle, ",3 BHK,1629,3,2,Bangalore,7900000,3,0,4849.600982
Built-up  Area,Ready To Move,Vijayanagar,3 BHK,1580,2,0,Bangalore,13400000,3,1,8481.012658
Super built-up  Area,21-06-2024 00:00,Vijayanagar,3 BHK,1826,3,2,Bangalore,12100000,3,0,6626.506024
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1245,2,1,Bangalore,9400000,2,1,7550.200803
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1145,2,2,Bangalore,4579000,2,1,3999.126638
Super built-up  Area,Ready To Move,Sompura,2 BHK,825,2,1,Bangalore,3300000,2,1,4000
Super built-up  Area,18-08-2024 00:00,Yeshwanthpur,3 BHK,1693,3,3,Bangalore,10800000,3,0,6379.208506
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1113.27,2,2,Bangalore,5300000,2,1,4760.749863
Built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,1460,2,1,Bangalore,5800000,2,1,3972.60274
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,1050,2,1,Bangalore,3200000,2,1,3047.619048
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1260,2,2,Bangalore,5500000,2,1,4365.079365
Super built-up  Area,Ready To Move,K N Extension,6 BHK,700,3,2,Bangalore,12000000,6,1,17142.85714
Built-up  Area,Ready To Move,Hosur Road,2 BHK,1656,2,1,Bangalore,12000000,2,1,7246.376812
Super built-up  Area,Ready To Move,Chandapura,3 BHK,1208,3,1,Bangalore,4500000,3,1,3725.165563
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1910,3,2,Bangalore,16100000,3,1,8429.319372
Super built-up  Area,Ready To Move,Whitefield,4 BHK,3252,4,1,Bangalore,23000000,4,1,7072.570726
Plot  Area,Ready To Move,Battarahalli,2 Bedroom,1200,2,1,Bangalore,6500000,2,1,5416.666667
Super built-up  Area,Ready To Move,Gokula Extension,4 BHK,1200,4,1,Bangalore,17500000,4,1,14583.33333
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1175,2,1,Bangalore,8200000,2,1,6978.723404
Plot  Area,Ready To Move,Kamakshipalya,2 Bedroom,1000,2,0,Bangalore,16500000,2,1,16500
Plot  Area,Ready To Move,Bannerghatta Road,4 Bedroom,1200,2,0,Bangalore,12500000,4,1,10416.66667
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,2390,3,2,Bangalore,41000000,3,1,17154.81172
Super built-up  Area,19-01-2024 00:00,Rajaji Nagar,7 BHK,12000,6,3,Bangalore,220000000,7,0,18333.33333
Plot  Area,Ready To Move,Sultan Palaya,2 Bedroom,550,1,1,Bangalore,6200000,2,1,11272.72727
Super built-up  Area,Ready To Move,Kengeri,1 BHK,,1,0,Bangalore,1850000,1,1,
Super built-up  Area,Ready To Move,Sanne Amanikere,2 BHK,1185,2,2,Bangalore,3800000,2,1,3206.751055
Super built-up  Area,Ready To Move,Kengeri,2 BHK,750,2,1,Bangalore,3800000,2,1,5066.666667
Plot  Area,Ready To Move,Mahalakshmi Layout,6 Bedroom,1200,7,3,Bangalore,25000000,6,1,20833.33333
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1550,3,3,Bangalore,6450000,3,1,4161.290323
Built-up  Area,Ready To Move,Amco Colony,3 BHK,1760,3,2,Bangalore,8800000,3,1,5000
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,1125,2,2,Bangalore,6200000,2,1,5511.111111
Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,1350,3,2,Bangalore,15000000,3,1,11111.11111
Plot  Area,17-12-2024 00:00,Anandapura,2 Bedroom,1000,2,1,Bangalore,5500000,2,0,5500
Built-up  Area,18-08-2024 00:00,Bommasandra Industrial Area,2 BHK,1090,2,2,Bangalore,3148000,2,0,2888.073394
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,1200,2,0,Bangalore,6000000,2,1,5000
Super built-up  Area,Ready To Move,Budigere,3 BHK,1991,4,2,Bangalore,10300000,3,1,5173.279759
Super built-up  Area,18-10-2024 00:00,Bommasandra,2 BHK,1060,2,1,Bangalore,2650000,2,0,2500
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,1105,2,1,Bangalore,7500000,2,1,6787.330317
Built-up  Area,Ready To Move,Hoodi,2 BHK,985,2,2,Bangalore,6700000,2,1,6802.030457
Plot  Area,Ready To Move,Chandapura,6 Bedroom,1533,5,3,Bangalore,8500000,6,1,5544.683627
Super built-up  Area,17-07-2024 00:00,Balagere,3 BHK,1590,3,2,Bangalore,7900000,3,0,4968.553459
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,1120,2,2,Bangalore,5500000,2,1,4910.714286
Super built-up  Area,Ready To Move,Samethanahalli,2 BHK,1069,2,1,Bangalore,5500000,2,1,5144.995323
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1933,3,2,Bangalore,14000000,3,1,7242.628039
Built-up  Area,16-03-2024 00:00,Hosur Road,2 BHK,1194,2,0,Bangalore,6900000,2,0,5778.894472
Super built-up  Area,Ready To Move,Brookefield,2 BHK,1150,2,3,Bangalore,6900000,2,1,6000
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,1240,2,2,Bangalore,4712000,2,1,3800
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1419,2,2,Bangalore,4810000,2,1,3389.711064
Plot  Area,Ready To Move,7th Phase JP Nagar,8 Bedroom,1200,8,2,Bangalore,25000000,8,1,20833.33333
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,2150,4,2,Bangalore,24000000,3,1,11162.7907
Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,1450,3,2,Bangalore,5500000,3,1,3793.103448
Super built-up  Area,18-07-2024 00:00,Udayapur Village,3 BHK,1630,3,2,Bangalore,6829000,3,0,4189.570552
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,708,1,1,Bangalore,4000000,2,1,5649.717514
Plot  Area,Ready To Move,Kasavanhalli,3 Bedroom,1000,4,3,Bangalore,11000000,3,1,11000
Plot  Area,Ready To Move,Whitefield,4 Bedroom,11890,4,3,Bangalore,70000000,4,1,5887.300252
Super built-up  Area,Ready To Move,Bellandur,2 BHK,1250,2,1,Bangalore,7600000,2,1,6080
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1400,2,1,Bangalore,9500000,3,1,6785.714286
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1670,2,3,Bangalore,5700000,3,1,3413.173653
Super built-up  Area,Ready To Move,Ardendale,3 BHK,1750,3,2,Bangalore,10000000,3,1,5714.285714
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1404,2,1,Bangalore,7100000,2,1,5056.980057
Super built-up  Area,Ready To Move,Hoodi,3 BHK,1715,2,2,Bangalore,9500000,3,1,5539.358601
Built-up  Area,18-04-2024 00:00,Electronic City,1 BHK,630,1,1,Bangalore,3465000,1,0,5500
Super built-up  Area,Ready To Move,Harlur,3 BHK,1752.12,3,2,Bangalore,13500000,3,1,7704.951716
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,1650,3,2,Bangalore,7800000,3,1,4727.272727
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1295,2,1,Bangalore,5547000,2,1,4283.397683
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,1800,3,2,Bangalore,25200000,3,1,14000
Super built-up  Area,18-09-2024 00:00,Sarjapur  Road,2 BHK,1346,2,1,Bangalore,7403000,2,0,5500
Plot  Area,Ready To Move,Thippasandra,4 Bedroom,1200,4,2,Bangalore,20000000,4,1,16666.66667
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1150,2,2,Bangalore,5500000,2,1,4782.608696
Built-up  Area,Ready To Move,Chikkabidarakallu,4 Bedroom,3309,4,3,Bangalore,32500000,4,1,9821.698398
Super built-up  Area,18-05-2024 00:00,Chandapura,3 BHK,1190,2,2,Bangalore,3035000,3,0,2550.420168
Super built-up  Area,Ready To Move,AECS Layout,3 BHK,1620,3,2,Bangalore,9800000,3,1,6049.382716
Super built-up  Area,18-04-2024 00:00,Marathahalli,2 BHK,950,2,1,Bangalore,4696000,2,0,4943.157895
Super built-up  Area,Ready To Move,1 Giri Nagar,11 BHK,5000,9,3,Bangalore,36000000,11,1,7200
Super built-up  Area,Ready To Move,Harlur,3 BHK,2450,3,0,Bangalore,12000000,3,1,4897.959184
Super built-up  Area,18-05-2024 00:00,Electronic City Phase II,3 BHK,1220,2,1,Bangalore,3523000,3,0,2887.704918
Super built-up  Area,Ready To Move,Hoysalanagar,2 BHK,850,2,1,Bangalore,3000000,2,1,3529.411765
Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,1020,2,2,Bangalore,6300000,2,1,6176.470588
